big_text_cleaned,len
block,5
block,5
mount,5
appartments,11
mount,5
poonamalle,10
chennai,7
paramount,9
pilatus,7
block,5
bengaluru,9
ablock,6
neeladri,8
bliss,5
kakatiya,8
nagar,5
seegehalli,10
golden,6
apartment,9
blockl,6
connect,7
pragathi,8
nagar,5
mahendru,8
enclave,7
prestige,8
courtyards,10
model,5
school,6
extension,9
sholinganallur,14
apartments,10
lalali,6
grandeur,8
devika,6
lodha,5
crown,5
quality,7
homes,5
padmalaya,9
illam,5
layout,6
hongasandra,11
sohan,5
apartment,9
grandeur,8
olrando,7
building,8
xpress,6
pocket,6
cross,5
srinivasanagar,14
floor,5
house,5
connect,7
ashoka,6
shipra,6
block,5
urban,5
praful,6
deepak,6
silverene,9
building,8
floor,5
legend,6
apartment,9
building,8
dhotre,6
united,6
enclave,7
panduranga,10
enclave,7
number,6
bhandari,8
layout,6
nizampet,8
street,6
number,6
comforts,8
apartment,9
prestige,8
sunrise,7
sakinaka,8
metro,5
station,7
block,5
rajajinagar,11
cross,5
cgwhmwh,7
sanjeev,7
nagar,5
souvik,6
plaza,5
kaveri,6
nagar,5
salwan,6
school,6
radha,5
krishna,7
enclave,7
kithagnur,9
bangalore,9
arihant,7
enclave,7
lajpat,6
nagar,5
beside,6
residency,9
front,5
panchshil,9
tower,5
sarai,5
coral,5
crest,5
devta,5
malhar,6
building,8
attatched,9
devta,5
temple,6
cross,5
bright,6
semmancheri,11
kosmos,6
compound,8
cross,5
block,5
block,5
first,5
floor,5
aditya,6
vhqghw,6
kalena,6
agrahara,8
unnathi,7
woods,5
phase,5
treasure,8
mohammad,8
manzil,6
street,6
nagar,5
spectra,7
vinay,5
fountainhead,12
county,6
block,5
tower,5
daffodils,9
paryavaran,10
appartment,10
pooja,5
store,5
oscar,5
darshan,7
mystic,6
hills,5
villas,6
floor,5
wingkalpataru,13
sunrise,7
trimurti,8
tower,5
hmpfj,5
delhi,5
india,5
andrews,7
extension,9
staff,5
colony,6
aakanksha,9
building,8
mahavir,7
enclave,7
pinnacle,8
brookside,9
homes,5
bhawani,7
nagar,5
marol,5
maroshi,7
andheri,7
mumbai,6
tower,5
velocity,8
phase,5
street,6
bydrahalli,10
benson,6
tower,5
prestige,8
sunrise,7
bhuvaneshwari,13
nagar,5
prestige,8
sorrento,8
palmgrove,9
victoria,8
layout,6
shree,5
savli,5
balaji,6
manor,5
north,5
imperia,7
tower,5
vasudev,7
residency,9
pasumpon,8
salai,5
cross,5
layout,6
cross,5
number,6
kutir,5
behind,6
office,6
building,8
apartment,9
yellow,6
building,8
green,5
meadows,7
beeramguda,10
phase,5
avenue,6
happy,5
residency,9
unique,6
gardens,7
beverly,7
kanakia,7
blockg,6
jagriti,7
renaissance,11
kamothe,7
vinay,5
hilands,7
maple,5
tower,5
poonam,6
parag,5
apartment,9
nehru,5
nagar,5
kurla,5
subarnabhoomird,15
floor,5
balaji,6
manor,5
rvgqq,5
dongri,6
galli,5
gardenia,8
gateway,7
haware,6
tulip,5
manar,5
silver,6
shadows,7
pramukh,7
heights,7
veera,5
desai,5
signature,9
millenium,9
sector,6
harmony,7
apartments,10
second,6
floor,5
branch,6
jalaluddin,10
ayyappa,7
society,7
ksara,5
building,8
jyoti,5
super,5
gardenia,8
cloud,5
towers,6
appartment,10
ramalinga,9
nagar,5
roopam,6
apartments,10
first,5
floor,5
block,5
sahasra,7
grand,5
apartment,9
chelkere,8
kalyan,6
nagar,5
bengaluru,9
karnataka,9
nivas,5
bloomfield,10
ecstacy,7
ouranya,7
padur,5
svasthi,7
raghavendra,11
residency,9
paradise,8
heights,7
padma,5
nagar,5
borivali,8
lajpat,6
nagar,5
saakshara,9
apartments,10
students,8
residential,11
maanas,6
enclave,7
karpagabal,10
nagar,5
nandhivaram,11
ganga,5
block,5
annanagar,9
anakaputhur,11
sector,6
noida,5
bhagyashree,11
gajanan,7
apartment,9
vijaya,6
ganapathy,9
apartments,10
street,6
karthikayepurammadipakkam,25
cross,5
cross,5
united,6
silicon,7
pushp,5
vihar,5
block,5
monci,5
mercy,5
cross,5
agape,5
heights,7
pudur,5
datta,5
nikhil,6
harmoney,8
ganesh,6
nagar,5
vihang,6
valley,6
phase,5
rajouri,7
garden,6
block,5
tower,5
republic,8
whitefield,10
single,6
building,8
kamayani,8
apartment,9
phase,5
vishveswaraya,13
layout,6
building,8
number,6
first,5
floor,5
railway,7
lingampalli,11
chennai,7
aditya,6
empireal,8
hight,5
lodha,5
amara,5
kolshet,7
thane,5
ganaraj,7
apartments,10
ramachandra,11
nagar,5
pebble,6
apartment,9
hashmat,7
apartment,9
oakwood,7
estate,6
tricity,7
luxria,6
blockb,6
camellia,8
elegant,7
mahalaxmi,9
apartment,9
badri,5
residency,9
block,5
sector,6
belapur,7
sumangali,9
square,6
above,5
super,5
market,6
green,5
garden,6
layout,6
munekolla,9
marathali,9
lakshmi,7
nagar,5
heritage,8
homes,5
cross,5
streetbharthi,13
nagar,5
chandrasekar,12
avenue,6
thoraipakkam,12
chennai,7
american,8
express,7
global,6
business,8
travel,6
cross,5
inderpuri,9
deihi,5
janapriya,9
metropolis,10
estate,6
block,5
mahaveer,8
seasons,7
welcome,7
store,5
vaibhav,7
palace,6
apartments,10
ganraj,6
datta,5
mandir,6
sector,6
vashi,5
vashi,5
mumbai,6
khrishna,8
chaitanya,9
restaurant,10
leaderboard,11
sheth,5
avalon,6
wipro,5
heritage,8
sector,6
dream,5
winga,5
residency,9
cross,5
platinum,8
lifestyle,9
apartment,9
rajaji,6
nagar,5
serilingampally,15
block,5
emerald,7
heights,7
tower,5
block,5
hillcrest,9
pacifica,8
belapur,7
ground,6
floor,5
sadarpur,8
prerna,6
cluster,7
sobha,5
phase,5
mills,5
compound,8
hindmata,8
cross,5
floor,5
chinnanna,9
layout,6
shampur,7
bangalore,9
cross,5
tower,5
unitech,7
habitat,7
first,5
floor,5
mandir,6
sector,6
aldea,5
espanola,8
regent,6
nallagandla,11
bypass,6
lingampally,11
sushant,7
extension,9
first,5
floor,5
akash,5
darshan,7
society,7
deodhar,7
mumbai,6
maharashtra,11
plotno,6
enclave,7
jyothi,6
colony,6
abhyant,7
apartment,9
block,5
diamond,7
chella,6
krishna,7
apartments,10
nagar,5
india,5
officers,8
quarters,8
lakeside,8
apartment,9
khajaguda,9
kakatiya,8
hills,5
madhapur,8
canara,6
appartment,10
block,5
sector,6
noida,5
fortious,8
waterscape,10
ranka,5
apartments,10
aadarsh,7
nagar,5
nariman,7
venkatadri,10
nilaya,6
sunbeamsobha,12
hillview,8
kothanur,8
periwinkle,10
champions,9
nasir,5
zubeda,6
enclave,7
cross,5
maruti,6
nagar,5
madiwalabangalore,17
sashank,7
primero,7
kailash,7
saket,5
sriyam,6
towers,6
avishka,7
layout,6
block,5
further,7
extension,9
mandir,6
bellevue,8
central,7
srinivasa,9
hills,5
basilica,8
nilaya,6
cross,5
beach,5
towers,6
western,7
hills,5
phase,5
tejaswi,7
enclave,7
lodha,5
complex,7
majiwade,8
riverdale,9
residences,10
renuka,6
yellama,7
colony,6
mission,7
secretariat,11
colony,6
kellys,6
vandhana,8
homes,5
singasandra,11
meher,5
krupa,5
street,6
number,6
ardee,5
block,5
blocke,6
vinay,5
unique,6
gardens,7
dheeraj,7
uphar,5
rukmini,7
niwas,5
nilayam,7
building,8
subhash,7
nagar,5
bblock,6
preet,5
vihar,5
skycourt,8
sector,6
radha,5
gardens,7
sector,6
pearl,5
cooperative,11
housing,7
society,7
hostel,6
floor,5
tower,5
zakir,5
charkop,7
block,5
shalimar,8
royalgreen,10
apartment,9
mangamanapalaya,15
neptune,7
raheja,6
complex,7
bunglows,8
andheri,7
blockd,6
estate,6
dhurshti,8
building,8
kopergoan,9
dombivli,8
opposite,8
jariwala,8
chawl,5
tardeo,6
malibu,6
townw,5
srivari,7
krupa,5
sector,6
kalikundu,9
sweets,6
fcgxq,5
hyderabad,9
telangana,9
nehru,5
nagar,5
singh,5
nagar,5
great,5
value,5
sharnam,7
retreat,7
garden,6
white,5
layout,6
gulabi,6
sobha,5
classic,7
block,5
casablanca,10
blockb,6
block,5
sector,6
vincy,5
bayloard,8
tower,5
paras,5
tierea,6
apartment,9
parinee,7
essence,7
solitaire,9
heights,7
somwari,7
bazar,5
malad,5
vihar,5
complex,7
building,8
number,6
omnie,5
solutions,9
jagadish,8
nagar,5
petal,5
apartments,10
royal,5
homes,5
cross,5
hoysala,7
nagar,5
prerana,7
towers,6
gangotri,8
apartment,9
dwarka,6
sector,6
delhi,5
house,5
number,6
bhagyalakshmi,13
krishna,7
nilaya,6
mahagun,7
mirabella,9
roopa,5
building,8
centre,6
anandam,7
apartment,9
chawl,5
acharya,7
dhondiram,9
narayan,7
wakrikar,8
laxmi,5
nagar,5
delhi,5
basant,6
apartments,10
gopal,5
nagar,5
society,7
hafzeepet,9
balasundaram,12
street,6
puzhuthivakkam,14
shatrunjay,10
darshan,7
stage,5
cross,5
layout,6
nagar,5
veena,5
serenity,8
mithila,7
residency,9
ashok,5
nagar,5
blocki,6
eldeco,6
riviera,7
cross,5
kallapa,7
layout,6
basava,6
nagar,5
bangalore,9
bhagya,6
laxmi,5
apartment,9
sector,6
fernhill,8
gardens,7
apartment,9
vettuvankeni,12
terra,5
signature,9
square,6
tatva,5
apartments,10
marigold,8
embassy,7
residency,9
cross,5
residency,9
ebony,5
apartment,9
phase,5
ambedkar,8
nagar,5
first,5
manapakam,9
chennai,7
tamilnadu,9
bollineni,9
silas,5
pariwar,7
apartment,9
cross,5
block,5
stage,5
navya,5
duplex,6
houses,6
navya,5
nagar,5
sonartari,9
apartment,9
virugambakkam,13
chennai,7
block,5
floor,5
pride,5
kaydee,6
solitaire,9
building,8
godbunder,9
thanks,6
block,5
kolkata,7
nagalakshmi,11
salai,5
extension,9
thiruchendur,12
nagar,5
pallavaram,10
house,5
hiranandini,11
eggatur,7
pebble,6
apartments,10
sunshine,8
kailash,7
harmony,7
bluemoon,8
apartments,10
mangal,6
natron,6
niche,5
godavari,8
block,5
sector,6
noida,5
sector,6
cross,5
block,5
urbanrise,9
revolution,10
padur,5
suncity,7
townships,9
sector,6
lakshmi,7
bhavanam,8
abhirampuram,12
street,6
cross,5
jalkasandra,11
extension,9
block,5
kormangala,10
bangalore,9
paras,5
tierea,6
studio,6
tower,5
paras,5
tierea,6
saraswat,8
bhawan,6
shankar,7
ghanekar,8
osman,5
manzil,6
heritage,8
akshaya,7
adora,5
apartment,9
charu,5
chandra,7
avenue,6
safdarjung,10
enclave,7
infra,5
majestic,8
homes,5
garden,6
murugeshpalya,13
harikrupa,9
apartments,10
residency,9
apartment,9
villa,5
royal,5
regency,7
appartment,10
beach,5
block,5
elite,5
greens,6
students,8
residential,11
beside,6
golden,6
court,5
towerf,6
emmar,5
emerald,7
estatesector,12
pocket,6
mayur,5
vihar,5
phase,5
delhi,5
timarpur,8
godrej,6
kalyan,6
amaltash,8
scappe,6
mayuresh,8
srishti,7
complex,7
bhandup,7
block,5
mominpur,8
cross,5
block,5
layout,6
amara,5
courtyard,9
apartment,9
nakshatrasai,12
niketan,7
apartment,9
opposite,8
student,7
library,7
ravindra,8
ladies,6
gurudeo,7
cooperative,11
housing,7
society,7
floor,5
house,5
prestige,8
shantiniketan,13
apartment,9
paradise,8
apartments,10
rohini,6
sector,6
block,5
westside,8
classic,7
apartment,9
meenakshi,9
heights,7
nizampet,8
appadwamy,9
blooming,8
sunshine,8
residency,9
janardhan,9
hills,5
manovirsa,9
tower,5
vijayalakshmipuram,18
floor,5
house,5
aralias,7
links,5
sector,6
residences,10
sector,6
charkop,7
dipika,6
royal,5
parthu,6
hallmark,8
wpfmp,5
gunjur,6
palya,5
bachanna,8
layout,6
channasandrabanasawadi,22
bangalore,9
abhimanyudu,11
residency,9
number,6
sidharth,8
upscale,7
infront,7
restaurant,10
between,7
agrawal,7
sweets,6
krishna,7
nagar,5
avenue,6
nagar,5
shahid,6
manzil,6
astreet,7
richmond,8
museum,6
bangalore,9
saroj,5
whitesands,10
dadar,5
naigaon,7
mumbai,6
block,5
shaheed,7
udham,5
singh,5
belvista,8
hagadur,7
doshi,5
nakshatra,9
janakpuri,9
delhi,5
santosh,7
nagar,5
fortune,7
enclave,7
banjara,7
hills,5
baban,5
patil,5
shaikpet,8
degree,6
urban,5
temple,6
trees,5
kabra,5
metro,5
keshav,6
shreeniwas,10
bagarka,7
nagar,5
george,6
thomas,6
houseth,7
kamaraj,7
street,6
khalilullah,11
masjid,6
shakti,6
khand,5
kalapataru,10
apartments,10
balajis,7
apartment,9
nonew,5
nosubramani,11
street,6
avenue,6
sigma,5
emerald,7
paras,5
tierea,6
tower,5
paras,5
tierea,6
narayana,8
murthy,6
nilayam,7
nagar,5
floorcollector,14
nagar,5
signal,6
block,5
windsor,7
paradise,8
residency,9
ground,6
floor,5
lakshmi,7
towers,6
pragathi,8
nagar,5
janapriya,9
township,8
mallapur,8
supertech,9
ecovillage,10
shiva,5
apartments,10
lilavati,8
front,5
looks,5
saloon,6
cross,5
block,5
raghav,6
enlave,6
bellandur,9
railway,7
station,7
nehru,5
nagar,5
blockc,6
ozone,5
evergreens,10
housing,7
society,7
vrindavan,9
sector,6
karanjade,9
panvel,6
mumbai,6
maharashtra,11
sahayog,7
society,7
garden,6
layout,6
begur,5
vijay,5
lakshmi,7
mansion,7
heritage,8
apartments,10
floor,5
ormes,5
cross,5
street,6
kilpauk,7
chennai,7
cross,5
anand,5
niketan,7
block,5
lavanya,7
apartment,9
multani,7
mohalla,7
hutchins,8
cross,5
thomas,6
south,5
patel,5
nagar,5
sunder,6
appartment,10
sectorrohini,12
madhuban,8
apartment,9
jeewan,6
jyoti,5
appartments,11
pitampura,9
poornima,8
apartments,10
bblock,6
sreenilayam,11
apartment,9
icrisat,7
colony,6
phase,5
bmrosewood,10
victoria,8
layout,6
phase,5
shreya,6
residency,9
grampanchayat,13
office,6
beside,6
congress,8
youth,5
party,5
office,6
block,5
prakruthi,9
meadows,7
amruthahlli,11
sector,6
kaizen,6
tulip,5
garden,6
khirki,6
extension,9
malviya,7
nagar,5
westeros,8
umiya,5
oasis,5
